subassembly,task,total_requests,canceled_requests,incomplete_requests,completed_requests
anchor,anchor replacement,12.7,0.0,0.7,12.0
anchor,major anchor repair,13.1,0.0,0.7,12.4
array cable,array cable major repair,24.5,0.0,1.3,23.2
array cable,array cable replacement,18.6,0.0,0.4,18.2
ballast pump,minor ballast pump repair,10.9,0.0,0.0,10.9
drive_train,main shaft major repair,26.9,0.2,0.1,26.6
drive_train,main shaft minor repair,230.3,1.0,0.4,228.9
drive_train,main shaft replacement,10.2,0.0,0.0,10.2
electrical system,power electrical system major repair,17.2,0.0,0.0,17.2
electrical system,power electrical system major replacement,2.2,0.0,0.0,2.2
electrical system,power electrical system minor repair,384.3,0.2,1.4,382.7
export cable,export cable major repair,1.0,0.0,0.0,1.0
export cable,export cable subsea inspection,10.0,0.0,0.0,10.0
generator,direct drive generator major repair,32.3,0.0,0.1,32.2
generator,direct drive generator major replacement,7.3,0.0,0.1,7.2
generator,direct drive generator minor repair,561.2,1.3,2.5,557.4
hydraulic pitch system,major pitch system repair,196.2,0.0,1.2,195.0
hydraulic pitch system,major pitch system replacement,1.625,0.0,0.0,1.625
hydraulic pitch system,minor pitch system repair,910.3,0.4,4.7,905.2
mooring lines,buoyancy module replacement,35.4,0.0,0.2,35.2
mooring lines,marine growth removal,118.5,0.5,0.4,117.6
mooring lines,mooring line major repair,15.1,0.0,1.7,13.4
mooring lines,mooring line replacement,11.8,0.0,0.6,11.2
power converter,power converter major repair,208.8,0.9,0.6,207.3
power converter,power converter minor repair,337.5,7.0,1.0,329.5
power converter,power converter replacement,45.7,0.0,0.2,45.5
rotor_blades,blades major repair,9.9,0.0,0.1,9.8
rotor_blades,blades major replacement,1.5714285714285714,0.0,0.0,1.5714285714285714
rotor_blades,blades minor repair,498.0,0.0,2.2,495.8
scheduled maintenance,annual turbine inspection,1340.0,0.0,323.5,1016.5
scheduled maintenance,oss annual inspection,20.0,0.0,0.0,20.0
scheduled maintenance,structural annual inspection,1340.0,0.0,325.1,1014.9
scheduled maintenance,structural subsea inspection,670.2,0.0,89.7,580.5
transformer,oss minor repair,3.0,0.0,0.0,3.0
yaw_system,yaw system major repair,6.0,0.0,0.0,6.0
yaw_system,yaw system major replacement,1.75,0.0,0.0,1.75
yaw_system,yaw system minor repair,182.3,0.0,1.1,181.2
