agent,mobilizations,duration,equipment_cost
Anchor Handling Tug,36.3,508.2,11797500.0
Cable Lay Vessel,36.0,504.0,19515803.989
Diving Support Vessel 1 1,120.4,1806.0,27067500.0
Diving Support Vessel 1 2,119.5,1792.5,26820000.0
