year,Anchor Handling Tug,Cable Lay Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel 1 1,Diving Support Vessel 1 2
1999,4527052.723030286,5066270.4702097215,1384233.2137137048,1384233.2677267857,1384230.5335643417,2229489.5655299644,1854832.5423023228
2000,4288887.263304024,5367192.902607542,1393611.4939486315,1393611.3541139443,1393614.1711521163,0.0,0.0
2001,6103938.459416429,5028040.777003753,1388933.7644593413,1388933.812678463,1388933.8767769416,2159869.635281046,2303306.3001357885
2002,3701743.053429839,4921876.874089782,1388922.501318612,1388922.2542713033,1388922.5295229035,242470.63977878322,146944.82914326322
2003,3255061.949543647,3583987.3700319184,1388560.1464203284,1388849.916306151,1388921.7414390694,2059503.1492204263,2160703.414068663
2004,1889169.0640673884,3907367.346651478,1393088.8996928907,1392798.5140384117,1392726.1515701942,0.0,0.0
2005,3205564.0346398754,5694455.771929575,1388922.4061254319,1388922.9652582412,1388922.4290314093,2116556.7651903676,2153848.9755752757
2006,4182518.335169237,3760121.784653234,1388923.1878155423,1388923.2553848256,1388923.8735958678,0.0,0.0
2007,3518932.6125977887,4432622.753923267,1388921.9674614319,1388920.9213625828,1388920.52761648,2252462.4431769913,2345977.833991997
2008,2997312.0341519266,4138638.1560120033,1392727.8259490062,1392727.5023852657,1392727.1827905704,0.0,0.0
2009,2565641.2108313893,3535528.727753555,1388922.2260085526,1388923.0031060618,1388922.5792411615,2339471.6725319093,2145237.110762362
2010,3897332.708378032,6480029.450630225,1388927.2666481591,1388927.4190541012,1388926.735353765,0.0,0.0
2011,2710486.95016663,4224677.518860352,1388923.8288470525,1388923.7831241481,1388924.9018421266,2195329.5430458747,2254978.1820975645
2012,2130381.762860244,3816720.5472275116,1392729.2136025988,1392728.573947608,1392728.9016202874,0.0,0.0
2013,2597571.3955686167,2327054.285402293,1388918.6436753334,1388918.2671042278,1388918.6157596207,2302701.624778942,2195727.7628996717
2014,2641238.9160036505,3995581.15261669,1388042.1432043514,1388041.5688393214,1388040.859593797,0.0,0.0
2015,1985756.2974125769,4735518.171397394,1389814.1445666451,1389814.0089122464,1389814.2662513382,3116928.301481828,2903520.6956723416
2016,2492886.2343300604,3619086.552217272,1392733.2089881818,1392733.4427613863,1392733.2585809554,0.0,97792.7206465473
2017,2451708.6461340236,2268485.0395013294,1388833.989537196,1388833.8813146383,1388922.512986774,2314860.9992080005,2361803.6211162475
2018,2568037.566617085,2400309.9045248344,1389009.5509553168,1389009.5133449028,1388921.7447130552,0.0,0.0
