,Loss Ratio (%)
Availability Losses,59.51729070959085
Electrical Losses,3.8177263617664123
Environmental Losses,1.59
Technical Losses,1.1979010000000012
Total Losses,64.08347475320537
Wake Losses,5.131004458817832
