id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed,latitude_2,longitude_2
1,OSS,1,turbine,40.88840927,-124.6931809,0.0,0.0,0.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12822.7,1677.22,12822.7,1677.22,8.368480692,0,40.88870462789387,-124.63521750646338
18,OSS,18,turbine,40.91250519,-124.6623679,0.0,1.0,0.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7937.71,1644.42,7937.71,1644.42,9.302812062,0,40.88840927011061,-124.69318094668209
27,OSS,27,turbine,40.92690363,-124.6554685,0.0,2.0,0.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6503.36,2166.48,6503.36,2166.48,10.38000952,0,40.893110319660856,-124.71020719009336
35,OSS,35,turbine,40.94130202,-124.6485661,0.0,3.0,0.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5069.01,2688.54,5069.01,2688.54,12.64919303,0,40.897811365366614,-124.72723583740078
44,OSS,44,turbine,40.95570039,-124.6416607,0.0,4.0,0.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3634.67,3210.6,3634.67,3210.6,3.224448311,0,40.90251240722782,-124.74426676948045
53,OSS,53,turbine,40.97009835,-124.6347535,0.0,5.0,0.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2200.32,3732.66,2200.32,3732.66,3.662391391,0,40.90721344524435,-124.76130022324249
52,OSS,52,turbine,40.9653979,-124.6177122,0.0,6.0,0.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1618.34,2133.67,1618.34,2133.67,12.81304949,0,40.89281487205591,-124.7681743984738
43,OSS,43,turbine,40.95099939,-124.6246238,0.0,7.0,0.0,7.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3052.68,1611.61,3052.68,1611.61,5.28571028,0,40.88811382226405,-124.75114427687751
4,OSS,4,turbine,40.88811382,-124.7511443,1.0,0.0,1.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11388.4,2199.28,11388.4,2199.28,5.503956627,0,40.89340567720259,-124.65223914462877
10,OSS,10,turbine,40.89810672,-124.669264,1.0,1.0,1.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9954.03,2721.34,9954.03,2721.34,7.148449867,0,40.89810672266682,-124.66926402078725
19,OSS,19,turbine,40.91720622,-124.679398,1.0,2.0,1.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8519.69,3243.4,8519.69,3243.4,5.04943361,0,40.90280776428646,-124.68629094785624
28,OSS,28,turbine,40.93160464,-124.672502,1.0,3.0,1.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7085.34,3765.46,7085.34,3765.46,5.867205317,0,40.90750880206144,-124.70332040008296
36,OSS,36,turbine,40.94600303,-124.6656034,1.0,4.0,1.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5650.99,4287.52,5650.99,4287.52,3.66242151,0,40.912209835991675,-124.72035225835259
45,OSS,45,turbine,40.96040138,-124.6587012,1.0,5.0,1.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4216.65,4809.58,4216.65,4809.58,9.318323461,0,40.91691086607707,-124.73738640351515
54,OSS,54,turbine,40.97479969,-124.651796,1.0,6.0,1.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2782.3,5331.64,2782.3,5331.64,9.318940945,0,40.92161189231754,-124.75442307253202
2,OSS,2,turbine,40.89311032,-124.7102072,2.0,0.0,2.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13404.7,3276.2,13404.7,3276.2,3.58278531,0,40.90310312132992,-124.62831466605519
5,OSS,5,turbine,40.90251241,-124.7442668,2.0,1.0,2.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11970.4,3798.26,11970.4,3798.26,3.90416067,0,40.90780415886335,-124.64533950820284
11,OSS,11,turbine,40.90280776,-124.6862909,2.0,2.0,2.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10536.0,4320.32,10536.0,4320.32,3.903147342,0,40.91250519255202,-124.66236794677216
20,OSS,20,turbine,40.92190725,-124.6964306,2.0,3.0,2.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9101.67,4842.38,9101.67,4842.38,2.464972957,0,40.917206222395855,-124.67939796354334
