id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A7,OSS,A7,turbine,40.928,-124.08,0,0,0,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12822.7,1677.22,12822.7,1677.22,0,0
B7,OSS,B7,turbine,41.11604507,-124.085185,0,1,0,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13404.7,3276.2,13404.7,3276.2,0,0
C7,OSS,C7,turbine,41.3045382,-124.0903229,0,2,0,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13986.7,4875.18,13986.7,4875.18,0,0
D7,OSS,D7,turbine,40.98928219,-124.067191,0,3,0,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11388.4,2199.28,11388.4,2199.28,0,0
E7,OSS,E7,turbine,41.17684617,-124.0723606,0,4,0,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11970.4,3798.26,11970.4,3798.26,0,0
F7,OSS,F7,turbine,41.36485438,-124.0774824,0,5,0,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12552.3,5397.24,12552.3,5397.24,0,0
G7,OSS,G7,turbine,41.55330442,-124.082558,0,6,0,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13134.3,6996.22,13134.3,6996.22,0,0
A6,OSS,A6,turbine,41.74219372,-124.0875862,1,0,1,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13716.3,8595.2,13716.3,8595.2,0,0
B6,OSS,B6,turbine,41.93152202,-124.092567,1,1,1,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14298.3,10194.2,14298.3,10194.2,0,0
C6,OSS,C6,turbine,41.05020489,-124.0543766,1,2,1,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9954.03,2721.34,9954.03,2721.34,0,0
D6,OSS,D6,turbine,41.23728973,-124.0595307,1,3,1,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10536,4320.32,10536,4320.32,0,0
E6,OSS,E6,turbine,41.42481514,-124.0646382,1,4,1,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11118,5919.3,11118,5919.3,0,0
F6,OSS,F6,turbine,41.61277863,-124.0696987,1,5,1,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11700,7518.28,11700,7518.28,0,0
G6,OSS,G6,turbine,41.80117765,-124.074712,1,6,1,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12282,9117.26,12282,9117.26,0,0
A5,OSS,A5,turbine,41.99000472,-124.079677,2,0,2,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12863.9,10716.2,12863.9,10716.2,0,0
B5,OSS,B5,turbine,42.17926931,-124.0845954,2,1,2,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13445.9,12315.2,13445.9,12315.2,0,0
C5,OSS,C5,turbine,42.36896153,-124.0894661,2,2,2,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14027.9,13914.2,14027.9,13914.2,0,0
D5,OSS,D5,turbine,40.92460273,-124.0363721,2,3,2,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7937.71,1644.42,7937.71,1644.42,0,0
E5,OSS,E5,turbine,41.11077112,-124.0415577,2,4,2,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8519.69,3243.4,8519.69,3243.4,0,0
F5,OSS,F5,turbine,41.29737881,-124.0466967,2,5,2,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9101.67,4842.38,9101.67,4842.38,0,0
G5,OSS,G5,turbine,41.48442335,-124.051789,2,6,2,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9683.65,6441.36,9683.65,6441.36,0,0
A4,OSS,A4,turbine,41.67190224,-124.056834,3,0,3,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10265.6,8040.34,10265.6,8040.34,0,0
B4,OSS,B4,turbine,41.85981304,-124.0618324,3,1,3,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10847.6,9639.32,10847.6,9639.32,0,0
C4,OSS,C4,turbine,42.04815313,-124.0667836,3,2,3,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11429.6,11238.3,11429.6,11238.3,0,0
D4,OSS,D4,turbine,42.23692223,-124.0716873,3,3,3,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12011.6,12837.3,12011.6,12837.3,0,0
E4,OSS,E4,turbine,42.42611531,-124.0765435,3,4,3,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12593.6,14436.3,12593.6,14436.3,0,0
F4,OSS,F4,turbine,40.98528702,-124.0235636,3,5,3,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6503.36,2166.48,6503.36,2166.48,0,0
G4,OSS,G4,turbine,41.17098386,-124.028734,3,6,3,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7085.34,3765.46,7085.34,3765.46,0,0
A3,OSS,A3,turbine,41.35711633,-124.033858,4,0,4,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7667.32,5364.44,7667.32,5364.44,0,0
B3,OSS,B3,turbine,41.54368202,-124.0389352,4,1,4,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8249.3,6963.42,8249.3,6963.42,0,0
C3,OSS,C3,turbine,41.73067845,-124.0439656,4,2,4,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8831.28,8562.4,8831.28,8562.4,0,0
D3,OSS,D3,turbine,41.91810545,-124.0489492,4,3,4,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9413.27,10161.4,9413.27,10161.4,0,0
E3,OSS,E3,turbine,42.10595809,-124.0538855,5,0,5,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9995.25,11760.4,9995.25,11760.4,0,0
F3,OSS,F3,turbine,42.294222,-124.0587742,5,1,5,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10577.2,13359.3,10577.2,13359.3,0,0
G3,OSS,G3,turbine,41.04561883,-124.0107505,5,2,5,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5069.01,2688.54,5069.01,2688.54,0,0
H4,OSS,H4,turbine,41.23084604,-124.0159058,5,3,5,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5650.99,4287.52,5650.99,4287.52,0,0
A2,OSS,A2,turbine,41.41650527,-124.0210147,6,0,6,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6232.98,5886.5,6232.98,5886.5,0,0
B2,OSS,B2,turbine,41.60259409,-124.0260771,6,1,6,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6814.96,7485.48,6814.96,7485.48,0,0
C2,OSS,C2,turbine,41.78911005,-124.0310927,6,2,6,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7396.94,9084.46,7396.94,9084.46,0,0
D2,OSS,D2,turbine,41.97604598,-124.0360614,6,3,6,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7978.92,10683.4,7978.92,10683.4,0,0
E2,OSS,E2,turbine,42.16341096,-124.0409831,6,4,6,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8560.9,12282.4,8560.9,12282.4,0,0
F2,OSS,F2,turbine,42.35119541,-124.0458576,6,5,6,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9142.88,13881.4,9142.88,13881.4,0,0
G2,OSS,G2,turbine,40.92127127,-123.9927463,6,6,6,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3052.68,1611.61,3052.68,1611.61,0,0
A1,OSS,A1,turbine,41.1056011,-123.9979328,7,0,7,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3634.67,3210.6,3634.67,3210.6,0,0
B1,OSS,B1,turbine,41.29036058,-124.003073,7,1,7,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4216.65,4809.58,4216.65,4809.58,0,0
C1,OSS,C1,turbine,41.47554849,-124.0081669,7,2,7,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4798.63,6408.56,4798.63,6408.56,0,0
D1,OSS,D1,turbine,41.66116243,-124.0132144,7,3,7,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5380.61,8007.54,5380.61,8007.54,0,0
