id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed,Unnamed: 19,Unnamed: 20,Unnamed: 21
B6,OSS,B6,turbine,41.93152202,-124.054866,0.0,0.0,0.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14298.3,10194.2,14298.3,10194.2,22.2264354,0,,-0.025134,-124.054866
B5,OSS,B5,turbine,42.17926931,-124.0708092,0.0,1.0,0.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13445.9,12315.2,13445.9,12315.2,77.43194966,0,,-0.0091908,-124.0708092
C5,OSS,C5,turbine,42.36896153,-124.0610678,0.0,2.0,0.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14027.9,13914.2,14027.9,13914.2,22.26666449,0,,-0.0189322,-124.0610678
E4,OSS,E4,turbine,42.42611531,-124.086913,0.0,3.0,0.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12593.6,14436.3,12593.6,14436.3,104.8864423,0,,0.006913,-124.086913
A6,OSS,A6,turbine,41.74219372,-124.0648276,1.0,0.0,1.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13716.3,8595.2,13716.3,8595.2,22.17773212,0,,-0.0151724,-124.0648276
A5,OSS,A5,turbine,41.99000472,-124.080646,1.0,1.0,1.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12863.9,10716.2,12863.9,10716.2,22.17067882,0,,0.000646,-124.080646
D4,OSS,D4,turbine,42.23692223,-124.0966254,1.0,2.0,1.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12011.6,12837.3,12011.6,12837.3,22.16410503,0,,0.0166254,-124.0966254
F3,OSS,F3,turbine,42.294222,-124.1224516,1.0,3.0,1.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10577.2,13359.3,10577.2,13359.3,22.10791001,0,,0.0424516,-124.1224516
F2,OSS,F2,turbine,42.35119541,-124.1482848,1.0,4.0,1.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9142.88,13881.4,9142.88,13881.4,22.05457687,0,,0.0682848,-124.1482848
a,OSS,a,turbine,42.40783333,-124.1741266,1.0,5.0,1.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7708.54,14403.5,7708.54,14403.5,102.9730284,0,,0.0941266,-124.1741266
C4,OSS,C4,turbine,42.04815313,-124.1064328,2.0,0.0,2.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11429.6,11238.3,11429.6,11238.3,22.1165098,0,,0.0264328,-124.1064328
E3,OSS,E3,turbine,42.10595809,-124.132229,2.0,1.0,2.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9995.25,11760.4,9995.25,11760.4,22.06228684,0,,0.052229,-124.132229
E2,OSS,E2,turbine,42.16341096,-124.1580338,2.0,2.0,2.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8560.9,12282.4,8560.9,12282.4,75.7997028,0,,0.0780338,-124.1580338
G1,OSS,G1,turbine,42.22053794,-124.183847,2.0,3.0,2.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7126.55,12804.5,7126.55,12804.5,21.95402894,0,,0.103847,-124.183847
i2,OSS,i2,turbine,42.27731866,-124.2096682,2.0,4.0,2.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5692.21,13326.5,5692.21,13326.5,21.89896547,0,,0.1296682,-124.2096682
s6,OSS,s6,turbine,42.33377904,-124.2354978,2.0,5.0,2.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4257.86,13848.6,4257.86,13848.6,21.84670255,0,,0.1554978,-124.2354978
q5,OSS,q5,turbine,42.38991029,-124.2613356,2.0,6.0,2.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2823.51,14370.7,2823.51,14370.7,21.79338485,0,,0.1813356,-124.2613356
G6,OSS,G6,turbine,41.80117765,-124.090576,3.0,0.0,3.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12282.0,9117.26,12282.0,9117.26,22.12319402,0,,0.010576,-124.090576
B4,OSS,B4,turbine,41.85981304,-124.1163352,3.0,1.0,3.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10847.6,9639.32,10847.6,9639.32,22.06888502,0,,0.0363352,-124.1163352
D3,OSS,D3,turbine,41.91810545,-124.1421016,3.0,2.0,3.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9413.27,10161.4,9413.27,10161.4,22.01506768,0,,0.0621016,-124.1421016
D2,OSS,D2,turbine,41.97604598,-124.1678772,3.0,3.0,3.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7978.92,10683.4,7978.92,10683.4,21.96044203,0,,0.0878772,-124.1678772
F1,OSS,F1,turbine,42.03365852,-124.1936612,3.0,4.0,3.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6544.57,11205.5,6544.57,11205.5,21.90734227,0,,0.1136612,-124.1936612
s1,OSS,s1,turbine,42.09093426,-124.2194536,3.0,5.0,3.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5110.23,11727.6,5110.23,11727.6,21.85421274,0,,0.1394536,-124.2194536
y4,OSS,y4,turbine,42.14786447,-124.2452544,3.0,6.0,3.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3675.88,12249.6,3675.88,12249.6,21.80104661,0,,0.1652544,-124.2452544
p4,OSS,p4,turbine,42.20447504,-124.2710636,3.0,7.0,3.0,7.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2241.53,12771.7,2241.53,12771.7,80.7616995,0,,0.1910636,-124.2710636
G7,OSS,G7,turbine,41.55330442,-124.074884,4.0,0.0,4.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13134.3,6996.22,13134.3,6996.22,22.12900204,0,,-0.005116,-124.074884
F6,OSS,F6,turbine,41.61277863,-124.1006026,4.0,1.0,4.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11700.0,7518.28,11700.0,7518.28,22.07487793,0,,0.0206026,-124.1006026
A4,OSS,A4,turbine,41.67190224,-124.126332,4.0,2.0,4.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10265.6,8040.34,10265.6,8040.34,22.02097005,0,,0.046332,-124.126332
C3,OSS,C3,turbine,41.73067845,-124.1520688,4.0,3.0,4.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8831.28,8562.4,8831.28,8562.4,27.89020452,0,,0.0720688,-124.1520688
C2,OSS,C2,turbine,41.78911005,-124.1778146,4.0,4.0,4.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7396.94,9084.46,7396.94,9084.46,21.9138543,0,,0.0978146,-124.1778146
E1,OSS,E1,turbine,41.84719994,-124.2035694,4.0,5.0,4.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5962.59,9606.52,5962.59,9606.52,21.86063175,0,,0.1235694,-124.2035694
g,OSS,g,turbine,41.9049533,-124.2293328,4.0,6.0,4.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4528.24,10128.6,4528.24,10128.6,21.80788956,0,,0.1493328,-124.2293328
w3,OSS,w3,turbine,41.96236146,-124.2551046,4.0,7.0,4.0,7.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3093.9,10650.6,3093.9,10650.6,21.75434607,0,,0.1751046,-124.2551046
r2,OSS,r2,turbine,42.01944791,-124.280885,4.0,8.0,4.0,8.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1659.55,11172.7,1659.55,11172.7,36.17206302,0,,0.200885,-124.280885
F7,OSS,F7,turbine,41.36485438,-124.0850352,5.0,0.0,5.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12552.3,5397.24,12552.3,5397.24,15.55013364,0,,0.0050352,-124.0850352
E6,OSS,E6,turbine,41.42481514,-124.1107236,5.0,1.0,5.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11118.0,5919.3,11118.0,5919.3,22.02628013,0,,0.0307236,-124.1107236
G5,OSS,G5,turbine,41.48442335,-124.136422,5.0,2.0,5.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9683.65,6441.36,9683.65,6441.36,4.94060099,0,,0.056422,-124.136422
B3,OSS,B3,turbine,41.54368202,-124.1621296,5.0,3.0,5.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8249.3,6963.42,8249.3,6963.42,21.91951885,0,,0.0821296,-124.1621296
B2,OSS,B2,turbine,41.60259409,-124.1878458,5.0,4.0,5.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6814.96,7485.48,6814.96,7485.48,21.86647136,0,,0.1078458,-124.1878458
D1,OSS,D1,turbine,41.66116243,-124.2135712,5.0,5.0,5.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5380.61,8007.54,5380.61,8007.54,21.81364502,0,,0.1335712,-124.2135712
f,OSS,f,turbine,41.71938992,-124.2393052,5.0,6.0,5.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3946.26,8529.6,3946.26,8529.6,27.50458687,0,,0.1593052,-124.2393052
z2,OSS,z2,turbine,41.77727942,-124.2650478,5.0,7.0,5.0,7.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2511.92,9051.66,2511.92,9051.66,33.97757507,0,,0.1850478,-124.2650478
C7,OSS,C7,turbine,41.3045382,-124.0593542,6.0,0.0,6.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13986.7,4875.18,13986.7,4875.18,22.13393136,0,,-0.0206458,-124.0593542
E7,OSS,E7,turbine,41.17684617,-124.0952788,6.0,1.0,6.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11970.4,3798.26,11970.4,3798.26,22.03070865,0,,0.0152788,-124.0952788
D6,OSS,D6,turbine,41.23728973,-124.1209386,6.0,2.0,6.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10536.0,4320.32,10536.0,4320.32,29.81371788,0,,0.0409386,-124.1209386
F5,OSS,F5,turbine,41.29737881,-124.1466066,6.0,3.0,6.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9101.67,4842.38,9101.67,4842.38,21.92432726,0,,0.0666066,-124.1466066
A3,OSS,A3,turbine,41.35711633,-124.172284,6.0,4.0,6.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7667.32,5364.44,7667.32,5364.44,21.87146242,0,,0.092284,-124.172284
A2,OSS,A2,turbine,41.41650527,-124.1979706,6.0,5.0,6.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6232.98,5886.5,6232.98,5886.5,21.81881762,0,,0.1179706,-124.1979706
C1,OSS,C1,turbine,41.47554849,-124.2236662,6.0,6.0,6.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4798.63,6408.56,4798.63,6408.56,8.706155091,0,,0.1436662,-124.2236662
e,OSS,e,turbine,41.5342489,-124.2493706,6.0,7.0,6.0,7.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3364.28,6930.62,3364.28,6930.62,21.71417269,0,,0.1693706,-124.2493706
h,OSS,h,turbine,41.59260933,-124.2750842,6.0,8.0,6.0,8.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,1929.93,7452.68,1929.93,7452.68,77.35430382,0,,0.1950842,-124.2750842
B7,OSS,B7,turbine,41.11604507,-124.06963,7.0,0.0,7.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13404.7,3276.2,13404.7,3276.2,22.08422707,0,,-0.01037,-124.06963
G4,OSS,G4,turbine,41.17098386,-124.182532,7.0,1.0,7.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7085.34,3765.46,7085.34,3765.46,21.82313948,0,,0.102532,-124.182532
H4,OSS,H4,turbine,41.23084604,-124.2081884,7.0,2.0,7.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5650.99,4287.52,5650.99,4287.52,31.11762313,0,,0.1281884,-124.2081884
B1,OSS,B1,turbine,41.29036058,-124.233854,7.0,3.0,7.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4216.65,4809.58,4216.65,4809.58,21.71886317,0,,0.153854,-124.233854
d,OSS,d,turbine,41.34953036,-124.2595288,7.0,4.0,7.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2782.3,5331.64,2782.3,5331.64,21.66704123,0,,0.1795288,-124.2595288
A7,OSS,A7,turbine,40.928,-124.08,8.0,0.0,8.0,0.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12822.7,1677.22,12822.7,1677.22,64.06142465,0,,0.0,-124.08
D7,OSS,D7,turbine,40.98928219,-124.105618,8.0,1.0,8.0,1.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11388.4,2199.28,11388.4,2199.28,36.27838286,0,,0.025618,-124.105618
C6,OSS,C6,turbine,41.05020489,-124.1312468,8.0,2.0,8.0,2.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9954.03,2721.34,9954.03,2721.34,99.21964775,0,,0.0512468,-124.1312468
E5,OSS,E5,turbine,41.11077112,-124.1568846,8.0,3.0,8.0,3.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8519.69,3243.4,8519.69,3243.4,21.87559703,0,,0.0768846,-124.1568846
D5,OSS,D5,turbine,40.92460273,-124.1672558,8.0,4.0,8.0,4.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7937.71,1644.42,7937.71,1644.42,161.8359852,0,,0.0872558,-124.1672558
F4,OSS,F4,turbine,40.98528702,-124.1928728,8.0,5.0,8.0,5.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6503.36,2166.48,6503.36,2166.48,161.4431875,0,,0.1128728,-124.1928728
G3,OSS,G3,turbine,41.04561883,-124.218499,8.0,6.0,8.0,6.0,0.0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5069.01,2688.54,5069.01,2688.54,140.0656656,0,,0.138499,-124.218499
