id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
A7,OSS,A7,turbine,-41.70560556,-74.67750502,0.0,0.0,0.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,1515.15,9090.9,1515.15,9090.9,5.691027086619516,0.0
B7,OSS,B7,turbine,-41.66269051,-74.67031126,0.0,1.0,0.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,3030.3,9090.9,3030.3,9090.9,4.995320116014079,0.0
C7,OSS,C7,turbine,-41.61981624,-74.66310956,0.0,2.0,0.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,4545.45,9090.9,4545.45,9090.9,4.990952387157166,0.0
D7,OSS,D7,turbine,-41.57698273,-74.65589992,0.0,3.0,0.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,6060.6,9090.9,6060.6,9090.9,4.986587427752876,0.0
E7,OSS,E7,turbine,-41.53418997,-74.64868235,0.0,4.0,0.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,7575.75,9090.9,7575.75,9090.9,4.982224031591167,0.0
A6,OSS,A6,turbine,-41.67838989,-74.68885434,1.0,0.0,1.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,1515.15,7575.75,1515.15,7575.75,2.981051805127811,0.0
B6,OSS,B6,turbine,-41.63545724,-74.681655,1.0,1.0,1.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,3030.3,7575.75,3030.3,7575.75,4.997350986246979,0.0
C6,OSS,C6,turbine,-41.59256545,-74.67444772,1.0,2.0,1.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,4545.45,7575.75,4545.45,7575.75,4.992974655026569,0.0
F7,OSS,F7,turbine,-41.49143795,-74.64145688,1.0,3.0,1.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,9090.9,9090.9,9090.9,9090.9,11.761361506683478,0.0
G7,OSS,G7,turbine,-41.44872665,-74.63422351,1.0,4.0,1.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,10606.05,9090.9,10606.05,9090.9,4.973502718532427,0.0
A5,OSS,A5,turbine,-41.65113336,-74.70020011,2.0,0.0,2.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,1515.15,6060.6,1515.15,6060.6,2.5154220924507436,0.0
D6,OSS,D6,turbine,-41.54971449,-74.66723249,2.0,1.0,2.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,6060.6,7575.75,6060.6,7575.75,11.791795137990848,0.0
E6,OSS,E6,turbine,-41.50690436,-74.66000934,2.0,2.0,2.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,7575.75,7575.75,7575.75,7575.75,4.984230200673154,0.0
F6,OSS,F6,turbine,-41.46413505,-74.65277828,2.0,3.0,2.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,9090.9,7575.75,9090.9,7575.75,4.979859663593234,0.0
G6,OSS,G6,turbine,-41.42140653,-74.64553932,2.0,4.0,2.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,10606.05,7575.75,10606.05,7575.75,4.97549289664276,0.0
B5,OSS,B5,turbine,-41.60818312,-74.69299518,3.0,0.0,3.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,3030.3,6060.6,3030.3,6060.6,7.051041387473634,0.0
C5,OSS,C5,turbine,-41.56527381,-74.6857823,3.0,1.0,3.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,4545.45,6060.6,4545.45,6060.6,4.9949972553640025,0.0
D5,OSS,D5,turbine,-41.52240543,-74.67856149,3.0,2.0,3.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,6060.6,6060.6,6060.6,6060.6,4.990613886899999,0.0
E5,OSS,E5,turbine,-41.47957794,-74.67133275,3.0,3.0,3.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,7575.75,6060.6,7575.75,6060.6,4.986235496716756,0.0
F5,OSS,F5,turbine,-41.43679134,-74.66409609,3.0,4.0,3.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,9090.9,6060.6,9090.9,6060.6,4.981857568443782,0.0
A4,OSS,A4,turbine,-41.62383588,-74.71154231,4.0,0.0,4.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,1515.15,4545.45,1515.15,4545.45,5.005802786557285,0.0
B4,OSS,B4,turbine,-41.58086807,-74.70433179,4.0,1.0,4.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,3030.3,4545.45,3030.3,4545.45,5.001408894546235,0.0
C4,OSS,C4,turbine,-41.53794126,-74.69711331,4.0,2.0,4.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,4545.45,4545.45,4545.45,4545.45,4.997017774867454,0.0
D4,OSS,D4,turbine,-41.49505545,-74.6898869,4.0,3.0,4.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,6060.6,4545.45,6060.6,4545.45,4.9926269096348515,0.0
G5,OSS,G5,turbine,-41.39404563,-74.65685154,4.0,4.0,4.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,10606.05,6060.6,10606.05,6060.6,11.750515298709391,0.0
G3,OSS,G3,turbine,-41.33920115,-74.67946516,5.0,0.0,5.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,10606.05,3030.3,10606.05,3030.3,36.76498789666327,0.0
E4,OSS,E4,turbine,-41.45221063,-74.68265256,5.0,1.0,5.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,7575.75,4545.45,7575.75,4545.45,12.755029747376746,0.0
F4,OSS,F4,turbine,-41.40940676,-74.67541031,5.0,2.0,5.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,9090.9,4545.45,9090.9,4545.45,4.983853288934061,0.0
G4,OSS,G4,turbine,-41.36664386,-74.66816015,5.0,3.0,5.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,10606.05,4545.45,10606.05,4545.45,4.979467225266645,0.0
H4,OSS,H4,turbine,-41.32392189,-74.66090211,5.0,4.0,5.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,12121.2,4545.45,12121.2,4545.45,4.9750858260348165,0.0
A3,OSS,A3,turbine,-41.59649739,-74.72288094,6.0,0.0,6.0,0.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,1515.15,3030.3,1515.15,3030.3,8.015951080164825,0.0
D2,OSS,D2,turbine,-41.44023249,-74.71252694,6.0,1.0,6.0,1.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,6060.6,1515.15,6060.6,1515.15,17.583370794170932,0.0
E2,OSS,E2,turbine,-41.39735301,-74.70528138,6.0,2.0,6.0,2.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,7575.75,1515.15,7575.75,1515.15,4.992242738697201,0.0
F2,OSS,F2,turbine,-41.35451466,-74.69802791,6.0,3.0,6.0,3.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,9090.9,1515.15,9090.9,1515.15,4.987838912689912,0.0
G2,OSS,G2,turbine,-41.31171742,-74.69076654,6.0,4.0,6.0,4.0,0.0,12MW_core_wind.yaml,array_core_wind.yaml,10606.05,1515.15,10606.05,1515.15,4.983437756968873,0.0
