agent,mobilizations,duration,equipment_cost
Anchor Handling Tug,41.26,577.64,13370500.0
Cable Lay Vessel,34.88,488.32,18950443.6506
Diving Support Vessel 1 1,48.96,734.4,11016000.0
Diving Support Vessel 1 2,48.36,725.4,10881000.0
