,Loss Ratio (%)
Availability Losses,20.30029328516289
Electrical Losses,3.8177263617664123
Environmental Losses,1.59
Technical Losses,1.1979010000000012
Total Losses,29.289897376909384
Wake Losses,5.131004458817831
