Component,CapEx ($) - Floating,CapEx ($/kW) - Floating
Array System,151138771.0,150.3868368159204
Array System Installation,86633028.52978763,86.20201843759963
Commissioning,56989718.14691584,56.70618721086153
Construction Financing,607848872.412991,604.8247486696429
Construction Insurance,113979436.29383168,113.41237442172306
Decommissioning,97658404.99724394,97.17254228581487
Export System,253517216.78068,252.255937095204
Export System Installation,74190758.78799334,73.82165053531676
Installation Contingency,168460748.62024578,167.62263544303062
Mooring System,277637682.0,276.2564
Mooring System Installation,57753997.9052854,57.46666458237353
Offshore Substation,244073449.17230424,242.85915340527782
Offshore Substation Installation,4761560.632038123,4.737871275659824
Onshore Substation,193552271.72006524,192.58932509459228
Procurement Contingency,256871799.2978716,255.59383014713592
Project,512290000.0,509.7412935323383
Substructure,1249828521.0099998,1243.6104686666665
Substructure Installation,264952679.1311152,263.6345065981246
Turbine,1778850000.0,1770.0
