year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1999,5999849.999999999,25000000.0,17230936.026303686,0.0,1988006.72,50218792.746303685
2000,6016287.945205477,25000000.0,12315708.132848129,0.0,2290976.8,45622972.878053606
2001,5999849.999999999,25000000.0,22029356.22675444,0.0,1678072.88,54707279.106754445
2002,5999849.999999999,25000000.0,12929351.107570155,0.0,2525833.76,46455034.867570154
2003,5999849.999999999,25000000.0,16318023.287114441,0.0,2241723.92,49559597.207114436
2004,6016287.945205477,25000000.0,11048189.591658482,0.0,1902842.0,43967319.53686397
2005,5999849.999999999,25000000.0,15937476.106743658,0.0,1928154.56,48865480.66674366
2006,5999849.999999999,25000000.0,12185496.301267385,0.0,1668910.88,44854257.18126739
2007,5999849.999999999,25000000.0,16021874.541415589,0.0,1845208.96,48866933.50141559
2008,6016287.945205477,25000000.0,11854263.345706299,0.0,1806524.48,44677075.77091178
2009,5999849.999999999,25000000.0,15573636.203687381,0.0,1663292.56,48236778.76368738
2010,5999849.999999999,25000000.0,12644012.546668833,0.0,1708437.28,45352299.826668836
2011,5999849.999999999,25000000.0,15783397.765119996,0.0,1712800.08,48496047.84512
2012,6016287.945205477,25000000.0,11325756.150380341,0.0,1650198.0,43992242.09558582
2013,5999849.999999999,25000000.0,14715900.41528485,0.0,1767698.72,47483449.135284856
2014,5999849.999999999,25000000.0,10274430.618933003,0.0,1394460.8,42668741.418933004
2015,5999849.999999999,25000000.0,17195708.50653846,0.0,1158655.2,49354213.70653846
2016,6016287.945205477,25000000.0,11416413.725670349,0.0,1403084.88,43835786.55087583
2017,5999849.999999999,25000000.0,14601568.739207024,0.0,1577288.8,47178707.53920703
2018,5999849.999999999,25000000.0,9490592.521106629,0.0,1323168.72,41813611.24110663
