year,Anchor Handling Tug,Cable Lay Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel 1 1,Diving Support Vessel 1 2
1999,4106496.5734298574,4985561.029123101,1384232.6327198467,1384250.4849107806,1384250.0471202054,2135295.3906595525,1850849.8683403418
2000,3696423.9984548744,4438483.9757523695,1393611.6600309291,1393594.087025194,1393594.411584762,0.0,0.0
2001,7025898.484789498,6107971.84032036,1388933.8052999263,1388933.8512768296,1388933.6863210045,2346946.858065053,2381737.70068177
2002,4077134.203386085,4524365.803129605,1388922.170260307,1388922.1941132424,1388922.2379671582,92797.35742585082,68287.14128790582
2003,3405398.3876867695,4516331.101390871,1388806.4834547876,1388791.6970612698,1388820.5647035476,2169048.7711882098,2060826.2816289868
2004,2983901.4355043904,3885762.2762874635,1392841.7636921937,1392856.7126175663,1392827.4035568673,0.0,0.0
2005,3169830.5997517123,4178328.841924341,1388922.6155991817,1388923.0281911788,1388922.5939252835,2167934.632216044,2254613.7951359153
2006,3491224.138348527,4527502.126972074,1388923.3373967048,1388923.2750436682,1388923.4235064117,0.0,0.0
2007,3236004.511342212,4071111.0521720457,1388921.3006382314,1388921.2118580546,1388920.8493706523,2277710.8350567133,2270284.7809776794
2008,3476827.707884803,4199252.46087284,1392727.8255950394,1392727.6367961615,1392727.7145574554,0.0,0.0
2009,3081451.6429739487,3783661.995030176,1388922.4416624168,1388922.5493632148,1388922.4585999444,2297452.129975397,2244302.986082283
2010,3682882.544849787,4794349.009456243,1388927.2370048992,1388927.0548489543,1388926.7005089482,0.0,0.0
2011,2932479.291836903,4280299.297846066,1388924.2565289366,1388924.1063220748,1388924.3296969829,2196280.3747392967,2207566.108149736
2012,3496977.6385863447,3650591.9188397187,1392728.7777229198,1392728.8894062482,1392728.9258251106,0.0,0.0
2013,2869584.047074692,3177718.8038418978,1388918.4908396185,1388918.3760277466,1388918.4870491547,2270902.5566667477,2230939.653784993
2014,2513552.7917271983,3596682.760321686,1388059.063651233,1388094.5527823581,1388041.450450529,0.0,0.0
2015,3194429.095500108,3857792.590943451,1389797.008103704,1389761.2807335968,1389814.1612594312,2955027.916095071,3019086.4539030977
2016,3113175.0599979586,3825432.025674226,1392732.980902374,1392733.327332483,1392733.2630410558,159332.6887015114,140274.3800207413
2017,2511137.26009195,3267097.9666343047,1388762.850344291,1388815.9895799493,1388868.8142552748,2317628.27251249,2339257.585788766
2018,2339990.004218942,2983520.2062152578,1389080.3124618516,1389027.2197076986,1388974.7785028785,0.0,0.0
