year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1999,5999849.999999999,25000000.0,9215015.520389907,0.0,2301308.0,42516173.52038991
2000,6016287.945205478,25000000.0,14752880.614852948,0.0,3146300.0,48915468.56005843
2001,5999849.999999999,25000000.0,17546557.51552098,0.0,2691046.0,51237453.515520975
2002,5999849.999999999,25000000.0,15781645.772998722,0.0,5179172.0,51960667.77299872
2003,5999849.999999999,25000000.0,19318916.40310137,0.0,4738916.0,55057682.40310137
2004,6016287.945205478,25000000.0,12440458.599257749,0.0,3580966.0,47037712.54446323
2005,5999849.999999999,25000000.0,16142481.612955395,0.0,3487296.0,50629627.61295539
2006,5999849.999999999,25000000.0,12443616.798451,0.0,3139960.0,46583426.79845101
2007,5999849.999999999,25000000.0,12600913.320405282,0.0,2953930.0,46554693.32040528
2008,6016287.945205478,25000000.0,6964167.876151938,0.0,2764986.0,40745441.821357414
2009,5999849.999999999,25000000.0,13891286.049472895,0.0,2448342.0,47339478.0494729
2010,5999849.999999999,25000000.0,8144339.562124535,0.0,2411880.0,41556069.562124535
2011,5999849.999999999,25000000.0,15029629.50407296,0.0,2656166.0,48685645.504072964
2012,6016287.945205478,25000000.0,6402019.720796781,0.0,2025806.0,39444113.66600226
2013,5999849.999999999,25000000.0,11039651.527034301,0.0,2980930.0,45020431.5270343
2014,5999849.999999999,25000000.0,8043944.969927648,0.0,2130136.0,41173930.96992765
2015,5999849.999999999,25000000.0,11181571.574231116,0.0,3021796.0,45203217.57423112
2016,6016287.945205478,25000000.0,8416989.631658476,0.0,2109082.0,41542359.57686396
2017,5999849.999999999,25000000.0,13033855.196344981,0.0,2320912.0,46354617.19634499
2018,5999849.999999999,25000000.0,7443885.857471334,0.0,1876630.0,40320365.85747133
