Metrics,FAD Deep Case - Floating
# OSS,1.0
# Turbines,67.0
AEP (MWh),4405774.022826947
AEP per kW (MWh/kW),4.383854749081539
Annual OpEx per kW ($/kW),45.66560086334565
CapEx ($),4839596118.708537
CapEx per kW ($/kW),4815.518526078146
Energy Availability (%),94.83034103022405
FCR (%),6.4799999999999995
Gross Capacity Factor (%),59.709851933885574
LCOE ($/MWh),81.59732028750652
Net Capacity Factor With All Losses (%),50.00975073102372
Offtake Price ($/MWh),83.3
OpEx ($),917878577.3532476
OpEx per kW ($/kW),913.312017266913
Project Capacity (MW),1005.0
Total Array Cable Length (km),133.2406333689631
Total Export Cable Length (km),206.533251254
Turbine Rating (MW),15.0
