agent,mobilizations,duration,equipment_cost
Anchor Handling Tug,18.0,252.0,5850000.0
Cable Lay Vessel,10.5,147.0,5707964.955
Diving Support Vessel 1,13.0,195.0,2925000.0
Diving Support Vessel 2,11.0,165.0,2475000.0
