year,operations,port_fees,equipment_cost,total_labor_cost,materials_cost,OpEx
1999,5999849.999999999,25000000.0,10757278.779355496,0.0,2814982.0,44572110.779355496
2000,6016287.945205478,25000000.0,17076530.517064337,0.0,5250960.0,53343778.46226981
2001,5999849.999999999,25000000.0,24181509.798319746,0.0,4283214.0,59464573.79831975
2002,5999849.999999999,25000000.0,14920713.720229307,0.0,7169808.0,53090371.72022931
2003,5999849.999999999,25000000.0,23245371.78401629,0.0,7693754.0,61938975.78401628
