year,Anchor Handling Tug,Cable Lay Vessel,Crew Transfer Vessel 1,Crew Transfer Vessel 2,Crew Transfer Vessel 3,Diving Support Vessel 1,Diving Support Vessel 2
1999,4203822.798680997,856439.3156435669,1384624.0251945644,1385064.4185163942,1385064.9623543844,0.0,0.0
2000,2933975.581092215,7641321.834460022,1393120.4687034232,1392237.411168425,1392225.3194288635,0.0,0.0
2001,2723258.836624948,5205513.537229524,1388177.4341607513,1388617.3167421385,1388629.4377505903,4345585.828767199,1106775.1242458269
2002,6176145.490608485,5436646.768220314,1389617.271141762,1389620.0945808273,1389616.1484473327,0.0,0.0
2003,5453719.632364626,3474151.393160868,1388000.229357603,1388000.13922289,1388001.3783515817,4979081.7627385445,1247961.8679052577
2004,1542969.340277778,6717226.076323945,1393128.2084173695,1393567.7015613294,1393567.2726773256,0.0,0.0
2005,3236494.0880904384,4745625.9507972505,1389310.9329400058,1388865.4798308583,1388866.2665921461,2997098.9995284257,996219.8951762705
2006,3895813.014498994,4382061.760101706,1388433.2431093776,1388432.4832315538,1388876.29750937,0.0,0.0
2007,3238784.4086679667,1795943.1918379415,1389298.8762258154,1389298.832318479,1388859.6145099434,2536838.193765906,861890.2030792303
2008,902467.4305555555,1883700.2101357132,1392667.5805504601,1392666.0731165276,1392666.5817936813,0.0,0.0
2009,1274529.9305555555,6202840.425213397,1389331.9838815553,1389807.4134431458,1388857.2872149856,1571890.6594444236,674028.349719832
2010,0.0,3979628.5968691865,1388379.8453846066,1387911.733688416,1388419.3861823252,0.0,0.0
2011,927041.8055555555,8554399.7387934,1388851.880568055,1388851.8967015145,1389295.7844911502,512980.14840086456,868208.2495624231
2012,0.0,2224032.3774426407,1392658.7281700547,1392660.0402440266,1392668.5749400593,0.0,0.0
2013,1261800.3819444445,3761764.731030256,1388850.1304569268,1388409.6856183135,1388851.6843226445,1531230.121995048,318744.7916666666
2014,386377.5,3490562.3977587568,1388855.0399471973,1389298.8544088649,1388851.1778128291,0.0,0.0
2015,1070723.4167379888,2803991.722765422,1388853.269815097,1388863.0972635709,1388853.5436043302,2571133.2979634022,569153.2260813045
2016,1061305.6944444445,3177693.113012075,1392656.0381152148,1392665.4845657288,1392669.3015210116,0.0,0.0
2017,0.0,4987839.011906568,1388853.8847698593,1388862.34694972,1388855.2494762149,3049465.646218309,829979.0570243093
2018,0.0,3277326.6181280445,1388851.4833576088,1388850.1371244187,1388857.618861263,0.0,0.0
