id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
B6,OSS,B6,turbine,40.9653979,-124.6177122,0,0,0,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14298.3,10194.2,14298.3,10194.2,22.2264354,0
B5,OSS,B5,turbine,40.98449682,-124.6278421,0,1,0,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13445.9,12315.2,13445.9,12315.2,77.43194966,0
C5,OSS,C5,turbine,40.99889525,-124.6209276,0,2,0,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,14027.9,13914.2,14027.9,13914.2,22.26666449,0
E4,OSS,E4,turbine,41.00359657,-124.6379766,0,3,0,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12593.6,14436.3,12593.6,14436.3,104.8864423,0
A6,OSS,A6,turbine,40.95099939,-124.6246238,1,0,1,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,13716.3,8595.2,13716.3,8595.2,22.17773212,0
A5,OSS,A5,turbine,40.97009835,-124.6347535,1,1,1,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12863.9,10716.2,,10716.2,22.17067882,0
D4,OSS,D4,turbine,40.98919815,-124.6448878,1,2,1,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12011.6,12837.3,12011.6,12837.3,22.16410503,0
F3,OSS,F3,turbine,40.99389858,-124.6619371,1,3,1,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10577.2,13359.3,10577.2,13359.3,22.10791001,0
F2,OSS,F2,turbine,40.9985999,-124.6789879,1,4,1,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9142.88,13881.4,9142.88,13881.4,22.05457687,0
a,OSS,a,turbine,41.00330122,-124.6960414,1,5,1,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7708.54,14403.5,7708.54,14403.5,102.9730284,0
C4,OSS,C4,turbine,40.97479969,-124.651796,2,0,2,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,11429.6,11238.3,11429.6,11238.3,22.1165098,0
E3,OSS,E3,turbine,40.97950103,-124.6688415,2,1,2,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9995.25,11760.4,9995.25,11760.4,22.06228684,0
E2,OSS,E2,turbine,40.98420147,-124.6858895,2,2,2,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8560.9,12282.4,8560.9,12282.4,75.7997028,0
G1,OSS,G1,turbine,40.9889028,-124.7029398,2,3,2,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7126.55,12804.5,7126.55,12804.5,21.95402894,0
i2,OSS,i2,turbine,40.99360323,-124.7199925,2,4,2,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5692.21,13326.5,5692.21,13326.5,21.89896547,0
s6,OSS,s6,turbine,40.99830455,-124.7370476,2,5,2,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4257.86,13848.6,4257.86,13848.6,21.84670255,0
q5,OSS,q5,turbine,41.00300587,-124.7541053,2,6,2,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,2823.51,14370.7,2823.51,14370.7,21.79338485,0
G6,OSS,G6,turbine,40.95570039,-124.6416607,3,0,3,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,12282,9117.26,12282,9117.26,22.12319402,0
B4,OSS,B4,turbine,40.96040138,-124.6587012,3,1,3,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,10847.6,9639.32,10847.6,9639.32,22.06888502,0
D3,OSS,D3,turbine,40.96510255,-124.6757433,3,2,3,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9413.27,10161.4,9413.27,10161.4,22.01506768,0
D2,OSS,D2,turbine,40.969803,-124.692788,3,3,3,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7978.92,10683.4,7978.92,10683.4,21.96044203,0
