id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
26,OSS1,26,turbine,43.2562,-69.53245071,0.0,0.0,0.0,0.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,6248.23,14264.28,6248.23,14264.28,2.806938424193754,0
2,OSS2,2,turbine,43.21540883,-69.46724414,0.0,0.0,0.0,0.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,11544.96,9732.49,11544.96,9732.49,2.806938424192724,0
52,OSS1,52,turbine,43.2562,-69.56320142,0.0,1.0,0.0,1.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3751.23,14264.28,3751.23,14264.28,1.831998356205343,0
1,OSS2,1,turbine,43.22900595,-69.46847864,0.0,1.0,0.0,1.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,11444.05,11243.09,11444.05,11243.09,2.806938743497279,0
50,OSS1,50,turbine,43.24260295,-69.5619453,0.0,2.0,0.0,2.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3852.14,12753.68,3852.14,12753.68,1.8320356499339423,0
100,OSS1,100,turbine,43.24260295,-69.59268915,0.0,3.0,0.0,3.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,1355.14,12753.68,1355.14,12753.68,1.8320338411531856,0
102,OSS1,102,turbine,43.2562,-69.59395211,0.0,4.0,0.0,4.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,1254.23,14264.28,1254.23,14264.28,3.316700008193953,0
104,OSS1,104,turbine,43.26979702,-69.59521563,0.0,5.0,0.0,5.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,1153.32,15774.88,1153.32,15774.88,2.806936098477424,0
28,OSS1,28,turbine,43.26979702,-69.53370055,1.0,0.0,1.0,0.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,6147.32,15774.88,6147.32,15774.88,1.831984752371676,0
10,OSS2,10,turbine,43.20181168,-69.46601018,1.0,0.0,1.0,0.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,11645.87,8221.89,11645.87,8221.89,1.8319929257728207,0
66,OSS1,66,turbine,43.26979702,-69.5644581,1.0,1.0,1.0,1.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3650.32,15774.88,3650.32,15774.88,3.1432008366012374,0
11,OSS2,11,turbine,43.20181168,-69.49673357,1.0,1.0,1.0,1.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,9148.87,8221.89,9148.87,8221.89,1.83203032869821,0
68,OSS1,68,turbine,43.28339392,-69.56571534,1.0,2.0,1.0,2.0,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3549.41,17285.47,3549.41,17285.47,1.8320274062621769,0
